Original Word,Predicted Word,Is Match,Top 5 Predictions
the,",",False,",(1.0000) | .(1.0000) | -(1.0000) |  the(1.0000) |  and(1.0000)"
quiet, middle,False, middle(1.0000) |  same(1.0000) |  past(1.0000) |  world(1.0000) |  early(1.0000)
solitude, of,False," of(1.0000) | ,(1.0000) | est(1.0000) |  and(1.0000) | .(1.0000)"
of, of,False," of(1.0000) | ,(1.0000) | .(1.0000) |  that(1.0000) |  and(1.0000)"
the, the,False, the(1.0000) |  a(1.0000) |  his(1.0000) |  her(1.0000) |  an(1.0000)
evening, forest,False, forest(1.0000) |  city(1.0000) |  woods(1.0000) |  desert(1.0000) |  mountains(1.0000)
",",",",True,",(1.0000) | .(1.0000) |  and(1.0000) |  in(1.0000) |  sun(1.0000)"
as, and,False," and(1.0000) |  the(1.0000) |  where(1.0000) | 
(1.0000) |  I(1.0000)"
the, if,False, if(1.0000) |  the(1.0000) |  he(1.0000) |  she(1.0000) |  I(1.0000)
last, sun,False, sun(1.0000) |  wind(1.0000) |  moon(1.0000) |  night(1.0000) |  light(1.0000)
rays, of,False, of(1.0000) |  rays(1.0000) |  few(1.0000) |  thing(1.0000) |  words(1.0000)
of, of,False, of(1.0000) |  from(1.0000) |  were(1.0000) |  and(1.0000) |  passed(1.0000)
the, the,False, the(1.0000) |  sunlight(1.0000) |  light(1.0000) |  dawn(1.0000) |  sunshine(1.0000)
sun, sun,False, sun(1.0000) |  moon(1.0000) |  morning(1.0000) |  dawn(1.0000) |  night(1.0000)
dipped, shine,False, shine(1.0000) |  shone(1.0000) |  were(1.0000) |  came(1.0000) |  set(1.0000)
below, into,False, into(1.0000) |  in(1.0000) |  down(1.0000) |  over(1.0000) |  through(1.0000)
the, the,False," the(1.0000) |  his(1.0000) | .(1.0000) | ,(1.0000) |  her(1.0000)"
horizon, horizon,False, horizon(1.0000) |  clouds(1.0000) |  sky(1.0000) |  surface(1.0000) |  earth(1.0000)
",",.,False,".(1.0000) | ,(1.0000) |  and(1.0000) |  .(1.0000) |  ,(1.0000)"
the, and,False," and(1.0000) |  the(1.0000) |  as(1.0000) | 
(1.0000) |  in(1.0000)"
world, sun,False, sun(1.0000) |  last(1.0000) |  light(1.0000) |  wind(1.0000) |  moon(1.0000)
seemed, was,False, was(1.0000) |  of(1.0000) |  seemed(1.0000) |  began(1.0000) |  became(1.0000)
to, to,False, to(1.0000) |  like(1.0000) |  as(1.0000) |  a(1.0000) |  more(1.0000)
slow, be,False, be(1.0000) |  have(1.0000) |  fade(1.0000) |  vanish(1.0000) |  glow(1.0000)
",", down,False," down(1.0000) |  to(1.0000) |  and(1.0000) | ,(1.0000) |  in(1.0000)"
giving, and,False, and(1.0000) |  as(1.0000) |  the(1.0000) |  like(1.0000) |  to(1.0000)
way, way,False, way(1.0000) |  a(1.0000) |  the(1.0000) |  in(1.0000) |  off(1.0000)
to, to,False," to(1.0000) |  and(1.0000) | ,(1.0000) |  as(1.0000) |  in(1.0000)"
